rank,score,parse_ok,name,total_notes,channels_with_notes,melodic_channels,drum_notes,orphan_off,stuck_notes,duplicate_on,duration_beats,issues
58,54.03,True,NEPOPRAVLJIVO.KAR,19210,12,11,6472,0,0,472,461.49,"NOTE_PAIR_ERRORS:960 | OVERLAPPING_SAME_NOTE:472 | MICRO_GATE:ch6=0.61 | FLAT_VELOCITY:ch16,ch15 | VERY_HIGH_NOTE_DENSITY:ch2 | PERCUSSION_CLUTTER"
59,54.5,True,Midi (1)/Muske/BAS TI LIJEPO STOJ.kar,9500,11,10,1923,0,0,0,360.0,NOTE_PAIR_ERRORS:2403 | MICRO_GATE:ch2=0.41 | FLAT_VELOCITY:ch4 | VERY_HIGH_NOTE_DENSITY:ch2
60,55.28,True,Midi (1)/Narodne/JASMINA-MILE KITIC.mid,8231,11,10,3031,0,0,847,408.0,"NOTE_PAIR_ERRORS:1887 | OVERLAPPING_SAME_NOTE:847 | FLAT_VELOCITY:ch7,ch9,ch8 | PERCUSSION_CLUTTER"
61,55.28,True,JASMINA-MILE KITIC.mid,8231,11,10,3031,0,0,847,408.0,"NOTE_PAIR_ERRORS:1887 | OVERLAPPING_SAME_NOTE:847 | FLAT_VELOCITY:ch7,ch9,ch8 | PERCUSSION_CLUTTER"
62,55.4,True,PEPELJARA.mid,12040,15,14,3778,1600,0,462,501.67,"NOTE_PAIR_ERRORS:1600 | OVERLAPPING_SAME_NOTE:462 | FLAT_VELOCITY:ch1,ch2,ch9,ch11,ch15 | EXTREME_MELODIC_REGISTER:ch14 | VERY_HIGH_NOTE_DENSITY:ch7 | PERCUSSION_CLUTTER"
63,55.93,True,Midi (1)/Narodne/DOLAZIM.MID,14848,10,9,4785,0,0,1741,300.0,"NOTE_PAIR_ERRORS:7 | OVERLAPPING_SAME_NOTE:1741 | FLAT_VELOCITY:ch1,ch3,ch9,ch14,ch15 | VERY_HIGH_NOTE_DENSITY:ch12 | DRUM_CORE_WEAK_OR_NONSTANDARD | PERCUSSION_CLUTTER"
64,55.93,True,DOLAZIM.MID,14848,10,9,4785,0,0,1741,300.0,"NOTE_PAIR_ERRORS:7 | OVERLAPPING_SAME_NOTE:1741 | FLAT_VELOCITY:ch1,ch3,ch9,ch14,ch15 | VERY_HIGH_NOTE_DENSITY:ch12 | DRUM_CORE_WEAK_OR_NONSTANDARD | PERCUSSION_CLUTTER"
65,55.98,True,Midi (1)/Muske/APOKALIPSO.mid,5105,8,7,1875,0,0,45,344.24,"NOTE_PAIR_ERRORS:913 | FLAT_VELOCITY:ch7,ch6,ch8 | DRUM_CORE_WEAK_OR_NONSTANDARD | PERCUSSION_CLUTTER"
66,55.98,True,Midi (1)/Muske/APOKALIPSO.KAR,5105,8,7,1875,0,0,45,348.0,"NOTE_PAIR_ERRORS:913 | FLAT_VELOCITY:ch6,ch7,ch8 | DRUM_CORE_WEAK_OR_NONSTANDARD | PERCUSSION_CLUTTER"
67,56.21,True,SPREMAJ SRCE.mid,11346,15,14,4903,0,0,527,276.28,"OVERLAPPING_SAME_NOTE:527 | MICRO_GATE:ch7=0.68 | FLAT_VELOCITY:ch2,ch3,ch4,ch7,ch8,ch9 | DRUM_CORE_WEAK_OR_NONSTANDARD | PERCUSSION_CLUTTER"
68,56.73,True,Midi (1)/zenske/VIRUJEN U TE.KAR,9400,16,15,2748,0,0,117,668.0,NOTE_PAIR_ERRORS:4 | OVERLAPPING_SAME_NOTE:117 | EXCESSIVE_LONG_GATES_CH1 | EXCESSIVE_LONG_GATES_CH3 | EXCESSIVE_LONG_GATES_CH4 | EXCESSIVE_LONG_GATES_CH16 | HUGE_PITCH_RANGE:ch16 | PERCUSSION_CLUTTER
69,56.79,True,Rodjena s vukovima - Seka Aleksic.mid,16209,12,11,6840,42,0,659,421.74,"NOTE_PAIR_ERRORS:63 | OVERLAPPING_SAME_NOTE:659 | FLAT_VELOCITY:ch5,ch4,ch1,ch16,ch15 | HUGE_PITCH_RANGE:ch3 | VERY_HIGH_NOTE_DENSITY:ch2 | DRUM_CORE_WEAK_OR_NONSTANDARD | PERCUSSION_CLUTTER"
70,57.0,True,Midi (1)/Narodne/COVJEK KAFANSKI.KAR,4122,8,7,1809,0,0,0,206.88,"NOTE_PAIR_ERRORS:1770 | FLAT_VELOCITY:ch1,ch2,ch4,ch5,ch13"
71,57.0,True,COVJEK KAFANSKI (1).KAR,4122,8,7,1809,0,0,0,206.88,"NOTE_PAIR_ERRORS:1770 | FLAT_VELOCITY:ch1,ch2,ch4,ch5,ch13"
